"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 09:01:03 UTC 2022","Wed Mar 09 09:01:03 UTC 2022","155","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","Get transaction returns 404 when unique id of transaction does not exist","Get transaction returns 404 when unique id of transaction does not exist()",""
"passed","Wed Mar 09 09:01:07 UTC 2022","Wed Mar 09 09:01:08 UTC 2022","1250","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Creation of order fails on paypal side","Creation of order fails on paypal side(String, long) Paypal returns error 401 more than once",""
"passed","Wed Mar 09 09:01:03 UTC 2022","Wed Mar 09 09:01:03 UTC 2022","43","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","Get transaction returns 404 when payment id does not exist","Get transaction returns 404 when payment id does not exist()",""
"passed","Wed Mar 09 09:01:06 UTC 2022","Wed Mar 09 09:01:06 UTC 2022","709","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Creation of order fails on paypal side","Creation of order fails on paypal side(String, long) Paypal replies with validation error",""
"passed","Wed Mar 09 09:01:03 UTC 2022","Wed Mar 09 09:01:03 UTC 2022","82","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","","com.unzer.payment.paypalpmp.testing.tests.GetTransactionTest","Get transaction returns 404 when payment id and unique id don't exist","Get transaction returns 404 when payment id and unique id don't exist()",""
"passed","Wed Mar 09 09:01:15 UTC 2022","Wed Mar 09 09:01:16 UTC 2022","1074","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Pending paypal purchase with mandatory fields","Pending paypal purchase with mandatory fields()",""
"passed","Wed Mar 09 09:01:13 UTC 2022","Wed Mar 09 09:01:15 UTC 2022","1454","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Paypal auth token is recreated on 401 error","Paypal auth token is recreated on 401 error()",""
"passed","Wed Mar 09 09:01:08 UTC 2022","Wed Mar 09 09:01:13 UTC 2022","5400","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Creation of order fails on paypal side","Creation of order fails on paypal side(String, long) Request to paypal times out",""
"passed","Wed Mar 09 09:01:06 UTC 2022","Wed Mar 09 09:01:07 UTC 2022","433","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Creation of order fails on paypal side","Creation of order fails on paypal side(String, long) Paypal response does not have order id",""
"passed","Wed Mar 09 09:01:16 UTC 2022","Wed Mar 09 09:01:17 UTC 2022","1354","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Pending paypal purchase with optional fields","Pending paypal purchase with optional fields()",""
"passed","Wed Mar 09 09:00:55 UTC 2022","Wed Mar 09 09:00:59 UTC 2022","4256","","com.unzer.payment.paypalpmp.testing.tests.GetPaymentTest","","com.unzer.payment.paypalpmp.testing.tests.GetPaymentTest","Get payment returns 404 when payment id does not exist","Get payment returns 404 when payment id does not exist()",""
"passed","Wed Mar 09 09:01:17 UTC 2022","Wed Mar 09 09:01:17 UTC 2022","38","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Purchase rejected with missing mandatory fields error","Purchase rejected with missing mandatory fields error()",""
"passed","Wed Mar 09 09:01:03 UTC 2022","Wed Mar 09 09:01:05 UTC 2022","2112","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Creation of order fails on paypal side","Creation of order fails on paypal side(String, long) Paypal replies with internal server error",""
"passed","Wed Mar 09 09:01:17 UTC 2022","Wed Mar 09 09:01:17 UTC 2022","94","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","","com.unzer.payment.paypalpmp.testing.tests.PurchaseTest","Purchase is rejected with validation error","Purchase is rejected with validation error()",""
